Stock,Total,Commercial,Sector,Common Pool,Recreational,Herring Fishery,Scallop Fishery,State Water,Other,Year,Small Mesh,data_type
GB Winter Flounder,1952,1891,1873,18,NA,NA,NA,NA,60,2015,NA,ACL
GOM Winter Flounder,489,392,371,21,NA,NA,NA,87,10,2015,NA,ACL
SNE/MA Winter Flounder,1607,1306,1147,159,NA,NA,NA,117,184,2015,NA,ACL
Redfish,11393,11034,10970,64,NA,NA,NA,120,239,2015,NA,ACL
White Hake,4484,4343,4311,32,NA,NA,NA,47,94,2015,NA,ACL
Pollock,15878,13720,13634,86,NA,NA,NA,996,1162,2015,NA,ACL
Northern Windowpane,144,98,NA,98,NA,NA,NA,2,44,2015,NA,ACL
Southern Windowpane,527,102,NA,102,NA,NA,183,55,186,2015,NA,ACL
Ocean Pout,220,195,NA,195,NA,NA,NA,2,24,2015,NA,ACL
Halibut,97,64,NA,64,NA,NA,NA,30,3,2015,NA,ACL
Wolffish,65,62,NA,62,NA,NA,NA,1,3,2015,NA,ACL
GB Cod,730,608,597,11,NA,NA,NA,23,99,2016,NA,ACL
GOM Cod,473,437,271,9,157,NA,NA,27,10,2016,NA,ACL
GB Haddock,53309,51667,51328,339,NA,512,NA,561,561,2016,NA,ACL
GOM Haddock,3430,3344,2390,26,928,34,NA,26,26,2016,NA,ACL
GB Yellowtail Flounder,261,250.8,247.1,3.7,NA,NA,2.2,NA,3,2016,5,ACL
SNE Yellowtail Flounder,256,204,169,35,NA,NA,17,5,29,2016,NA,ACL
CC/GOM Yellowtail Flounder,409,341,327,14,NA,NA,NA,43,26,2016,NA,ACL
Plaice,1235,1183,1163,20,NA,NA,NA,26,26,2016,NA,ACL
Witch Flounder,441,370,362,8,NA,NA,NA,12,59,2016,NA,ACL
GB Winter Flounder,650,590,585,5,NA,NA,NA,NA,60,2016,NA,ACL
GOM Winter Flounder,776,639,607,32,NA,NA,NA,122,16,2016,NA,ACL
SNE/MA Winter Flounder,749,585,523,62,NA,NA,NA,70,94,2016,NA,ACL
Redfish,9837,9526,9474,52,NA,NA,NA,103,207,2016,NA,ACL
White Hake,3572,3459,3433,26,NA,NA,NA,38,75,2016,NA,ACL
Pollock,20374,17817,17704,113,NA,NA,NA,1279,1279,2016,NA,ACL
Northern Windowpane,177,66,NA,66,NA,NA,NA,2,109,2016,NA,ACL
Southern Windowpane,599,104,NA,104,NA,NA,209,37,249,2016,NA,ACL
Ocean Pout,155,137,NA,137,NA,NA,NA,2,17,2016,NA,ACL
Halibut,119,91,NA,91,NA,NA,NA,25,4,2016,NA,ACL
Wolffish,77,72,NA,72,NA,NA,NA,1,3,2016,NA,ACL
GB Cod,637,531,521,7,NA,NA,NA,20,86,2017,NA,ACL
GOM Cod,473,437,271,9,157,NA,NA,27,10,2017,NA,ACL
GB Haddock,54568,52620,52253,367,NA,801,NA,574,574,2017,NA,ACL
GOM Haddock,4285,4177,2985,33,1160,42,NA,33,33,2017,NA,ACL
GB Yellowtail Flounder,201,163,160,2,NA,NA,32,NA,2.1,2017,4,ACL
SNE Yellowtail Flounder,256,217,176,42,NA,NA,4,5,29,2017,NA,ACL
CC/GOM Yellowtail Flounder,409,341,326,15,NA,NA,NA,43,26,2017,NA,ACL
Plaice,1272,1218,1196,23,NA,NA,NA,27,27,2017,NA,ACL
Witch Flounder,839,734,718,16,NA,NA,NA,35,70,2017,NA,ACL
GB Winter Flounder,683,620,615,5,NA,NA,NA,NA,63,2017,NA,ACL
GOM Winter Flounder,776,639,607,32,NA,NA,NA,122,16,2017,NA,ACL
SNE/MA Winter Flounder,749,585,515,70,NA,NA,NA,70,94,2017,NA,ACL
Redfish,10514,10183,10126,56,NA,NA,NA,111,221,2017,NA,ACL
White Hake,3467,3358,3331,27,NA,NA,NA,36,73,2017,NA,ACL
Pollock,20374,17817,17704,113,NA,NA,NA,1279,1279,2017,NA,ACL
Northern Windowpane,170,129,NA,129,NA,NA,36,2,4,2017,NA,ACL
Southern Windowpane,599,104,NA,104,NA,NA,209,37,249,2017,NA,ACL
Ocean Pout,155,130,NA,130,NA,NA,NA,2,23,2017,NA,ACL
Halibut,119,91,NA,91,NA,NA,NA,25,4,2017,NA,ACL
Wolffish,77,72,NA,72,NA,NA,NA,1,3,2017,NA,ACL
GB cod,83.7,82.5,83.2,65.6,NA,NA,NA,73,112.8,2010,NA,CtoACL
GOM cod,71,75.9,83.6,94.2,61.9,NA,NA,33.6,20.4,2010,NA,CtoACL
GB Haddock,20,20.6,20.5,36.3,NA,82.3,NA,0.3,7.3,2010,NA,CtoACL
GOM Haddock,65.5,67.4,46.4,27.4,122.3,25.5,NA,94.6,4.4,2010,NA,CtoACL
GB Yellowtail Flounder,79.3,92.1,92,93.1,NA,NA,12.1,NA,66.2,2010,NA,CtoACL
SNE Yellowtail Flounder,67,55.4,64.9,25.9,NA,NA,83.7,134.4,115.5,2010,NA,CtoACL
CC/GOM Yellowtail Flounder,81.7,76.6,76.8,73.8,NA,NA,NA,368.6,118.7,2010,NA,CtoACL
Plaice,53.5,53.9,54.7,32.8,NA,NA,NA,78.3,36.7,2010,NA,CtoACL
Witch Flounder,92.6,85.1,84.1,119.9,NA,NA,NA,261.2,220.2,2010,NA,CtoACL
GB Winter Flounder,78.3,75.1,75.8,30.3,NA,NA,NA,NA,136,2010,NA,CtoACL
GOM Winter Flounder,83.8,67.2,60.7,101.6,NA,NA,NA,107.1,192.9,2010,NA,CtoACL
SNE/MA Winter Flounder,61.2,9.1,NA,NA,NA,NA,NA,341.4,443.1,2010,NA,CtoACL
Redfish,30,31.4,31.7,8.8,NA,NA,NA,13.9,1.7,2010,NA,CtoACL
White Hake,86.9,88.4,88.4,86.6,NA,NA,NA,90.2,52.8,2010,NA,CtoACL
Pollock,39.8,33.8,33.7,40.3,NA,NA,NA,89.2,73.3,2010,NA,CtoACL
Northern Windowpane,101,139.5,NA,NA,NA,NA,NA,0.4,18.6,2010,NA,CtoACL
Southern Windowpane,237.7,47.8,NA,NA,NA,NA,NA,1550.1,623.6,2010,NA,CtoACL
Ocean Pout,40.5,27.3,NA,NA,NA,NA,NA,1.1,337.4,2010,NA,CtoACL
Halibut,52.5,92.8,NA,NA,NA,NA,NA,18.2,45.9,2010,NA,CtoACL
Wolffish,29.2,30.7,NA,NA,NA,NA,NA,2.7,2.7,2010,NA,CtoACL
GB cod,68,68.8,68.9,66.1,NA,NA,NA,81.1,47.2,2011,NA,CtoACL
GOM cod,69.2,74.1,83.4,89.9,58.1,NA,NA,36.3,9.6,2011,NA,CtoACL
GB Haddock,1.3,NA,0,6.3,NA,32,NA,1.1,22.3,2011,NA,CtoACL
GOM Haddock,57.7,59.4,52.6,24.3,77.4,1.7,NA,54.6,24.1,2011,NA,CtoACL
GB Yellowtail Flounder,78.9,86.7,88.1,10.1,NA,NA,41.8,NA,59.1,2011,NA,CtoACL
SNE Yellowtail Flounder,76.7,67.3,84.3,10.2,NA,NA,135.2,15.6,98.9,2011,NA,CtoACL
CC/GOM Yellowtail Flounder,78.9,78.3,79.4,42.1,NA,NA,NA,384.8,19.3,2011,NA,CtoACL
Plaice,42.3,43.8,44.7,6.4,NA,NA,NA,35.5,9.1,2011,NA,CtoACL
Witch Flounder,84.8,74.1,75.3,16.8,NA,NA,NA,161,302.5,2011,NA,CtoACL
GB Winter Flounder,85.1,86.9,87.4,8.2,NA,NA,NA,NA,53.5,2011,NA,CtoACL
GOM Winter Flounder,52.4,45,46.5,16.5,NA,NA,NA,69.5,41.3,2011,NA,CtoACL
SNE/MA Winter Flounder,35.5,12.9,NA,NA,NA,NA,NA,55.6,366.4,2011,NA,CtoACL
Redfish,25.7,26.9,27,9.9,NA,NA,NA,4.3,3.1,2011,NA,CtoACL
White Hake,88.9,93.5,93.9,50.4,NA,NA,NA,7.9,3.3,2011,NA,CtoACL
Pollock,46.1,43,42.8,66.6,NA,NA,NA,90.3,52.4,2011,NA,CtoACL
Northern Windowpane,118.8,142.2,NA,NA,NA,NA,NA,0.5,71,2011,NA,CtoACL
Southern Windowpane,224,72.4,NA,NA,NA,NA,NA,829.1,544.9,2011,NA,CtoACL
Ocean Pout,35.7,25.4,NA,NA,NA,NA,NA,0,268.5,2011,NA,CtoACL
Halibut,68.6,129.1,NA,NA,NA,NA,NA,18.1,61.6,2011,NA,CtoACL
Wolffish,42.8,45.1,NA,NA,NA,NA,NA,0,2.4,2011,NA,CtoACL
GB cod,26.9,26.1,26,35.4,NA,NA,NA,42.2,39.7,2012,NA,CtoACL
GOM cod,58.3,60.4,47.4,37.3,74.2,NA,NA,17.6,6.9,2012,NA,CtoACL
GB Haddock,1.1,0,NA,0.6,NA,100.9,NA,4.6,2,2012,NA,CtoACL
GOM Haddock,47.3,49.3,25.9,18.6,108.4,0.6,NA,11.1,7.1,2012,NA,CtoACL
GB Yellowtail Flounder,70.3,58.5,59.1,6.1,NA,NA,104.5,NA,23.9,2012,NA,CtoACL
SNE Yellowtail Flounder,59.3,55.8,63.7,24.4,NA,NA,42.5,120.2,161.5,2012,NA,CtoACL
CC/GOM Yellowtail Flounder,83.5,82.9,84.7,13,NA,NA,NA,96.4,91,2012,NA,CtoACL
Plaice,38.8,39.7,40.3,6.1,NA,NA,NA,42.5,15.7,2012,NA,CtoACL
Witch Flounder,67.4,59.6,60.3,10.5,NA,NA,NA,57.5,246.2,2012,NA,CtoACL
GB Winter Flounder,53.4,52.6,52.9,3.9,NA,NA,NA,NA,67,2012,NA,CtoACL
GOM Winter Flounder,28.1,32,32.9,7.8,NA,NA,NA,22.1,4.9,2012,NA,CtoACL
SNE/MA Winter Flounder,52.4,35,NA,NA,NA,NA,NA,33.7,120.8,2012,NA,CtoACL
Redfish,42.1,44.2,44.3,16.6,NA,NA,NA,14.5,0.8,2012,NA,CtoACL
White Hake,67.2,70.5,70.3,91.6,NA,NA,NA,3.8,11,2012,NA,CtoACL
Pollock,45.5,40.3,40,82.7,NA,NA,NA,70.6,80.1,2012,NA,CtoACL
Northern Windowpane,128.2,100.5,NA,NA,NA,NA,NA,115.9,233.2,2012,NA,CtoACL
Southern Windowpane,136.7,147.9,NA,NA,NA,NA,NA,88.3,140.7,2012,NA,CtoACL
Ocean Pout,22.2,18.3,NA,NA,NA,NA,NA,38.5,56.3,2012,NA,CtoACL
Halibut,91.2,168.7,NA,NA,NA,NA,NA,30.8,42.2,2012,NA,CtoACL
Wolffish,42,41.3,NA,NA,NA,NA,NA,99.2,40.6,2012,NA,CtoACL
GB Cod,84.8,87,86.8,101,NA,NA,NA,46,42.8,2013,NA,CtoACL
GOM cod,96.5,104.9,90.2,48.9,131.5,NA,NA,34.7,5.7,2013,NA,CtoACL
GB Haddock,11.9,11.4,11.4,0.5,NA,106.2,NA,2.1,4.8,2013,NA,CtoACL
GOM Haddock,147.9,154.4,91.2,108.9,312.2,NA,NA,30.4,25.3,2013,NA,CtoACL
GB Yellowtail Flounder,44.7,36.1,36.5,0.4,NA,NA,90.3,NA,0.6,2013,63.7,CtoACL
SNE Yellowtail Flounder,70.1,63.7,57.8,93.1,NA,NA,111.4,206.5,106.3,2013,NA,CtoACL
CC/GOM Yellowtail Flounder,86.7,79.4,80.9,31.5,NA,NA,NA,130.2,271.3,2013,NA,CtoACL
Plaice,97.5,98.3,99.8,14.3,NA,NA,NA,63,95.7,2013,NA,CtoACL
Witch Flounder,99.2,105.3,106.6,30.6,NA,NA,NA,115.5,64.5,2013,NA,CtoACL
GB Winter Flounder,48.4,48.8,49.1,0,NA,NA,NA,NA,36.5,2013,NA,CtoACL
GOM Winter Flounder,23.6,23.7,24.4,6.6,NA,NA,NA,24.8,16.5,2013,NA,CtoACL
SNE/MA Winter Flounder,63.6,65.2,62.4,87,NA,NA,NA,23.7,108.1,2013,NA,CtoACL
Redfish,38.5,39.5,39.6,10.9,NA,NA,NA,17.3,1.8,2013,NA,CtoACL
White Hake,51.7,53.1,53.4,21.6,NA,NA,NA,5.5,9.9,2013,NA,CtoACL
Pollock,47.1,38.1,38.1,40.2,NA,NA,NA,104.9,103.7,2013,NA,CtoACL
Northern Windowpane,195,242.4,NA,NA,NA,NA,NA,62.2,95,2013,NA,CtoACL
Southern Windowpane,105.3,113.7,NA,NA,NA,NA,70.5,67.9,146.4,2013,NA,CtoACL
Ocean Pout,26.9,16.9,NA,NA,NA,NA,NA,62.6,116.4,2013,NA,CtoACL
Halibut,82.1,105.2,NA,NA,NA,NA,NA,57.5,31,2013,NA,CtoACL
Wolffish,29.3,27.6,NA,NA,NA,NA,NA,185,26.3,2013,NA,CtoACL
GB Cod,81.1,78.4,78.6,65.8,NA,NA,NA,99.5,138.5,2014,NA,CtoACL
GOM cod,94.9,97.8,80.5,57.1,128.3,NA,NA,37.1,136.5,2014,NA,CtoACL
GB Haddock,34.8,31.7,32,0.7,NA,70.1,NA,4.2,103.1,2014,NA,CtoACL
GOM Haddock,159,161.5,75,21.6,380.7,NA,NA,47.9,207.7,2014,NA,CtoACL
GB Yellowtail Flounder,38.6,24.5,24.9,1.4,NA,NA,116.4,NA,0.2,2014,18.1,CtoACL
SNE Yellowtail Flounder,74.7,71,67.7,85.7,NA,NA,98.2,8.9,111.7,2014,NA,CtoACL
CC/GOM Yellowtail Flounder,64.1,52.3,53.9,6.3,NA,NA,NA,139.2,354.6,2014,NA,CtoACL
Plaice,93.1,94.1,95.3,31.3,NA,NA,NA,57.9,78.6,2014,NA,CtoACL
Witch Flounder,83.1,84.5,86,9.6,NA,NA,NA,162.8,60,2014,NA,CtoACL
GB Winter Flounder,34.2,34,34.2,0.1,NA,NA,NA,NA,40.6,2014,NA,CtoACL
GOM Winter Flounder,23.1,17.4,18.1,1.9,NA,NA,NA,41.7,6,2014,NA,CtoACL
SNE/MA Winter Flounder,43.6,45.1,46.1,37.9,NA,NA,NA,30.3,51.5,2014,NA,CtoACL
Redfish,43.5,44.4,44.5,11.4,NA,NA,NA,15.8,19,2014,NA,CtoACL
White Hake,46.6,40.9,41,28.6,NA,NA,NA,3.3,331.7,2014,NA,CtoACL
Pollock,31.1,30.4,30.2,52.6,NA,NA,NA,56.6,17.4,2014,NA,CtoACL
Northern Windowpane,187.5,160.9,NA,NA,NA,NA,NA,180.5,248.6,2014,NA,CtoACL
Southern Windowpane,90.8,94.4,NA,NA,NA,NA,76.5,42.7,117.1,2014,NA,CtoACL
Ocean Pout,54.6,16.8,NA,NA,NA,NA,NA,163.9,393.5,2014,NA,CtoACL
Halibut,74.2,83.9,NA,NA,NA,NA,NA,65.9,38.8,2014,NA,CtoACL
Wolffish,23.1,23,NA,NA,NA,NA,NA,97.9,5.9,2014,NA,CtoACL
GB Cod,97.3,91.6,91.6,95.8,NA,NA,NA,230,193.2,2015,NA,CtoACL
GOM Cod,88.8,82.6,90.2,86.3,69.8,NA,NA,181.2,58.8,2015,NA,CtoACL
GB Haddock,25.9,23.3,23.5,0.1,NA,103.9,NA,10.3,68.6,2015,NA,CtoACL
GOM Haddock,82.9,83.6,76.8,24.8,102.7,NA,NA,38.2,116.8,2015,NA,CtoACL
GB Yellowtail Flounder,28.4,18.9,19.3,0.2,NA,NA,98.8,NA,0.1,2015,1,CtoACL
SNE Yellowtail Flounder,49,48.9,37.9,91.7,NA,NA,79.1,15.4,22.5,2015,NA,CtoACL
CC/GOM Yellowtail Flounder,88.9,84.1,85,64,NA,NA,NA,137.1,101.9,2015,NA,CtoACL
Plaice,96.9,98,98.9,51.5,NA,NA,NA,75.5,70.6,2015,NA,CtoACL
Witch Flounder,85.1,88,87.8,98.7,NA,NA,NA,171.2,53,2015,NA,CtoACL
GB Winter Flounder,45.4,45.9,46.4,0,NA,NA,NA,NA,29.3,2015,NA,CtoACL
GOM Winter Flounder,42.1,30.9,31.7,16.3,NA,NA,NA,92,49.1,2015,NA,CtoACL
SNE/MA Winter Flounder,55.2,52.7,50.9,65.6,NA,NA,NA,72.6,61.6,2015,NA,CtoACL
Redfish,46.4,47.9,48.2,0.5,NA,NA,NA,3.6,1.2,2015,NA,CtoACL
White Hake,35.8,36.8,37.1,0.8,NA,NA,NA,1.5,7.2,2015,NA,CtoACL
Pollock,25.2,21.3,21.1,54.4,NA,NA,NA,44.3,54.2,2015,NA,CtoACL
Northern Windowpane,131.8,75.1,NA,NA,NA,NA,NA,84.1,262.3,2015,NA,CtoACL
Southern Windowpane,122.1,134.9,NA,NA,NA,NA,115.1,71.3,137.5,2015,NA,CtoACL
Ocean Pout,34.7,26.8,NA,NA,NA,NA,NA,74.3,94.7,2015,NA,CtoACL
Halibut,105.2,92.2,NA,NA,NA,NA,NA,137.1,63.1,2015,NA,CtoACL
Wolffish,30.4,30.1,NA,NA,NA,NA,NA,99.3,12.6,2015,NA,CtoACL
GB Cod,155.1,98.1,97.6,124.8,NA,NA,NA,337.1,462.6,2016,NA,CtoACL
GOM Cod,134,125.3,96,68.8,178.9,NA,NA,286.3,89.9,2016,NA,CtoACL
GB Haddock,9,8.5,8.6,0.3,NA,23.2,NA,2.5,47.5,2016,NA,CtoACL
GOM Haddock,75.3,74,65.9,40.4,95.6,5.7,NA,35.5,379,2016,NA,CtoACL
GB Yellowtail Flounder,11.8,9.5,9.7,NA,NA,NA,93.8,NA,0,2016,95.2,CtoACL
SNE Yellowtail Flounder,33.1,30.6,26.3,51.3,NA,NA,63.9,13.2,37.3,2016,NA,CtoACL
CC/GOM Yellowtail Flounder,88.1,76.5,76.2,83.7,NA,NA,NA,118,187.3,2016,NA,CtoACL
Plaice,97.9,96.3,96.5,86.6,NA,NA,NA,138.3,129.5,2016,NA,CtoACL
Witch Flounder,104.4,97,97,94.2,NA,NA,NA,385.4,93.6,2016,NA,CtoACL
GB Winter Flounder,65.7,71.6,72.2,NA,NA,NA,NA,NA,7.2,2016,NA,CtoACL
GOM Winter Flounder,31.9,17.5,18,8.4,NA,NA,NA,107.1,32,2016,NA,CtoACL
SNE/MA Winter Flounder,79.7,77.5,75.8,91.6,NA,NA,NA,37.4,125.3,2016,NA,CtoACL
Redfish,41.6,42.8,43,0.9,NA,NA,NA,4.6,4.3,2016,NA,CtoACL
White Hake,41.5,42.6,42.9,2.7,NA,NA,NA,3.2,13.4,2016,NA,CtoACL
Pollock,19.6,16.8,16.7,20.9,NA,NA,NA,49.4,29.8,2016,NA,CtoACL
Northern Windowpane,47.3,68.2,NA,NA,NA,NA,NA,37.3,34.8,2016,NA,CtoACL
Southern Windowpane,69.7,121.9,NA,NA,NA,NA,40.4,75.7,71.5,2016,NA,CtoACL
Ocean Pout,27.9,12.5,NA,NA,NA,NA,NA,21.4,151.7,2016,NA,CtoACL
Halibut,90.8,62.5,NA,NA,NA,NA,NA,191.1,83.4,2016,NA,CtoACL
Wolffish,1,0.8,NA,NA,NA,NA,NA,1.9,5.8,2016,NA,CtoACL
GB Cod,82,84,84.4,92.5,NA,NA,NA,48.6,77.6,2017,NA,CtoACL
GOM Cod,129.5,117.6,96.1,89.9,156.3,NA,NA,257.2,289.1,2017,NA,CtoACL
GB Haddock,7.9,7.8,7.8,0.1,NA,6,NA,2.1,31.4,2017,NA,CtoACL
GOM Haddock,73.4,73.3,75.4,43,68.5,NA,NA,89.1,170.3,2017,NA,CtoACL
GB Yellowtail Flounder,41.8,19.1,19.4,NA,NA,NA,164.3,NA,0.1,2017,9.7,CtoACL
SNE Yellowtail Flounder,9.6,6.7,6,9.5,NA,NA,104.1,22.3,15.9,2017,NA,CtoACL
CC/GOM Yellowtail Flounder,76.2,60.4,60.3,62.6,NA,NA,NA,167.2,130.4,2017,NA,CtoACL
Plaice,89.1,88.5,89.4,41.1,NA,NA,NA,135.5,66.5,2017,NA,CtoACL
Witch Flounder,70.5,67.4,67.8,49.9,NA,NA,NA,142.1,66.8,2017,NA,CtoACL
GB Winter Flounder,57.2,60.9,61.4,NA,NA,NA,NA,NA,21.1,2017,NA,CtoACL
GOM Winter Flounder,39.7,17.8,18.3,8.9,NA,NA,NA,151.9,56.3,2017,NA,CtoACL
SNE/MA Winter Flounder,73.5,69.9,72.2,53,NA,NA,NA,33.2,125.5,2017,NA,CtoACL
Redfish,44.3,45.6,45.9,1.9,NA,NA,NA,3.7,4.5,2017,NA,CtoACL
White Hake,58.7,60.3,60.7,2,NA,NA,NA,3.4,15.1,2017,NA,CtoACL
Pollock,21.7,16.9,16.9,16.3,NA,NA,NA,49.7,60.8,2017,NA,CtoACL
Northern Windowpane,51.4,27.2,NA,NA,NA,NA,122.4,27.4,192.9,2017,NA,CtoACL
Southern Windowpane,73.6,68.7,NA,NA,NA,NA,68.8,66.3,80.7,2017,NA,CtoACL
Ocean Pout,18.2,8.6,NA,NA,NA,NA,NA,16.3,72.8,2017,NA,CtoACL
Halibut,90.3,75.1,NA,NA,NA,NA,NA,126.6,186.3,2017,NA,CtoACL
Wolffish,2.2,2.2,NA,NA,NA,NA,NA,5.2,1,2017,NA,CtoACL
GB cod,2881.6,2693.2,2627.7,65.5,NA,NA,NA,27.7,160.6,2010,NA,Landing
GOM cod,5625.6,5386.4,3537.1,195.2,1654,NA,NA,190.3,49,2010,NA,Landing
GB Haddock,8430.8,8299.2,8207.4,91.8,NA,69.2,NA,1.6,60.9,2010,NA,Landing
GOM Haddock,781.2,771.1,367.8,6.9,396.3,0.5,NA,8.5,1.2,2010,NA,Landing
GB Yellowtail Flounder,681.6,680.1,672.3,7.8,NA,NA,0.2,0,1.2,2010,NA,Landing
SNE Yellowtail Flounder,174.8,162.5,147.8,14.7,NA,NA,2.7,6.7,2.8,2010,NA,Landing
CC/GOM Yellowtail Flounder,552.9,518.3,500.1,18.2,NA,NA,NA,33.2,1.4,2010,NA,Landing
Plaice,1383.4,1354.2,1331.9,22.3,NA,NA,NA,25.1,4.1,2010,NA,Landing
Witch Flounder,689.3,664.1,638.2,26,NA,NA,NA,23.5,1.7,2010,NA,Landing
GB Winter Flounder,1371.1,1370.5,1364.6,5.9,NA,NA,NA,0,0.7,2010,NA,Landing
GOM Winter Flounder,163.6,101.3,79.1,22.2,NA,NA,NA,61.9,0.3,2010,NA,Landing
SNE/MA Winter Flounder,161.9,10.6,7.9,2.6,NA,NA,NA,144.2,7.2,2010,NA,Landing
Redfish,2009.3,1998.2,1991.6,6.6,NA,NA,NA,10.5,0.6,2010,NA,Landing
White Hake,2296.3,2223.9,2184.1,39.8,NA,NA,NA,25.3,47.2,2010,NA,Landing
Pollock,7443.5,5515.5,5371.5,143.9,NA,NA,NA,1059.8,868.3,2010,NA,Landing
Northern Windowpane,0.4,0.3,0.3,0,NA,NA,NA,0,0.1,2010,NA,Landing
Southern Windowpane,46.6,7.6,0.1,7.5,NA,NA,NA,31,8,2010,NA,Landing
Ocean Pout,1,0.5,0.1,0.5,NA,NA,NA,0,0.5,2010,NA,Landing
Halibut,14.9,8,6.1,1.9,NA,NA,NA,6.6,0.4,2010,NA,Landing
Wolffish,0.3,0.2,0.2,0,NA,NA,NA,0,0,2010,NA,Landing
GB cod,3250.5,3129.1,3071,58.1,NA,NA,NA,38.9,82.5,2011,NA,Landing
GOM cod,6158.2,5932.7,4222.6,69.8,1640.3,NA,NA,216.4,9.1,2011,NA,Landing
GB Haddock,3883.1,3758.5,3746.8,11.7,NA,101.8,NA,3.9,19,2011,NA,Landing
GOM Haddock,721.9,716.6,476.2,1.9,238.5,0.2,NA,4.9,0.3,2011,NA,Landing
GB Yellowtail Flounder,951,940.9,939.1,1.8,NA,NA,10.2,0,0,2011,NA,Landing
SNE/MA Yellowtail Flounder,365.6,356.7,345.3,11.5,NA,NA,1,1.1,6.8,2011,NA,Landing
CC/GOM Yellowtail Flounder,761.3,720.1,711.5,8.6,NA,NA,NA,38.5,2.7,2011,NA,Landing
Plaice,1453.8,1439.8,1435.9,3.9,NA,NA,NA,12.1,1.9,2011,NA,Landing
Witch Flounder,958.9,934.8,930.9,3.9,NA,NA,NA,22.5,1.6,2011,NA,Landing
GB Winter Flounder,1913.2,1912.1,1911,1.1,NA,NA,NA,0,1,2011,NA,Landing
GOM Winter Flounder,241.4,155.7,153.1,2.6,NA,NA,NA,76.9,8.8,2011,NA,Landing
SNE/MA Winter Flounder,61.3,3.6,3.3,0.3,NA,NA,NA,32.1,25.5,2011,NA,Landing
Redfish,2526,2522.2,2518.8,3.4,NA,NA,NA,3.6,0.2,2011,NA,Landing
White Hake,2999,2994.9,2981.8,13.1,NA,NA,NA,2.6,1.5,2011,NA,Landing
Pollock,8947.6,7499.2,7433.7,65.5,NA,NA,NA,694,754.3,2011,NA,Landing
Northern Windowpane,0.4,0,0,0,NA,NA,NA,0,0.4,2011,NA,Landing
Southern Windowpane,41.8,2.3,0.2,2.2,NA,NA,NA,16.6,22.9,2011,NA,Landing
Ocean Pout,0.1,0,0,0,NA,NA,NA,0,0.1,2011,NA,Landing
Halibut,19,11.4,10.3,1,NA,NA,NA,7.1,0.6,2011,NA,Landing
Wolffish,0.1,0,0,0,NA,NA,NA,0,0.1,2011,NA,Landing
GB cod,1578.8,1488.6,1461.2,27.5,NA,NA,NA,18.1,72.2,2012,NA,Landing
GOM cod,2761.9,2718.5,2058.9,24.9,634.6,NA,NA,42.7,0.8,2012,NA,Landing
GB Haddock,1211.3,926.8,926.5,0.3,NA,271.9,NA,9.2,3.4,2012,NA,Landing
GOM Haddock,494.6,493.3,211.7,0.9,280.7,0.1,NA,1.1,0,2012,NA,Landing
GB Yellowtail Flounder,227.5,202.4,202.3,0.1,NA,NA,25.1,0,0,2012,NA,Landing
SNE/MA Yellowtail Flounder,435.6,419,383.8,35.2,NA,NA,2.4,6.8,7.5,2012,NA,Landing
CC/GOM Yellowtail Flounder,877.9,845,842.9,2,NA,NA,NA,31.9,1,2012,NA,Landing
Plaice,1376.5,1367.5,1364.8,2.6,NA,NA,NA,8.2,0.9,2012,NA,Landing
Witch Flounder,946.3,917.4,915.4,2,NA,NA,NA,26.3,2.5,2012,NA,Landing
GB Winter Flounder,1932.5,1927.2,1926.4,0.7,NA,NA,NA,0,5.4,2012,NA,Landing
GOM Winter Flounder,310.5,251.4,249.5,1.9,NA,NA,NA,58.7,0.4,2012,NA,Landing
SNE/MA Winter Flounder,69.1,0.7,0.6,0.1,NA,NA,NA,55,13.4,2012,NA,Landing
Redfish,4113,4108.4,4103.3,5,NA,NA,NA,3.8,0.8,2012,NA,Landing
White Hake,2436.5,2432.4,2413.9,18.5,NA,NA,NA,1.6,2.5,2012,NA,Landing
Pollock,6967.5,6360,6296.5,63.5,NA,NA,NA,100.6,506.9,2012,NA,Landing
Northern Windowpane,1.5,0,0,0,NA,NA,NA,1.5,0,2012,NA,Landing
Southern Windowpane,31,0.4,0,0.3,NA,NA,NA,21.7,8.9,2012,NA,Landing
